weight_mode,avg_latency_ms_mean,avg_latency_ms_std,avg_energy_mj_mean,avg_energy_mj_std,avg_privacy_risk_mean,avg_privacy_risk_std,sla_violation_pct_mean,sla_violation_pct_std,avg_latency_ms_p_corr_vs_nonlinear,avg_energy_mj_p_corr_vs_nonlinear,avg_privacy_risk_p_corr_vs_nonlinear,sla_violation_pct_p_corr_vs_nonlinear
flat,73.03131349993649,5.328997241148862,7.343186667206934,0.7607141285451594,0.3949428608810281,0.010858215596178812,0.7733333333333333,0.3355923452974192,1.0,1.0,9.745287747126558e-08,1.0
step,71.40633219388839,5.446127651904652,7.545241832040011,0.7828959961544244,0.4165869819355329,0.012978725152593948,0.7200000000000001,0.33999999999999997,1.0,1.0,1.0,1.0
linear,71.42673202226867,5.48272006466656,7.554907776894194,0.7916061819562074,0.4102129682444987,0.013707804624416706,0.7200000000000001,0.33999999999999997,1.0,1.0,0.05962721322784334,1.0
nonlinear,71.31362094550036,5.452001308018127,7.528610993777681,0.7812027850425609,0.42085029369519894,0.01242240715898449,0.7166666666666668,0.33374973990834644,,,,
