weight_mode,avg_latency_ms_mean,avg_latency_ms_std,avg_energy_mj_mean,avg_energy_mj_std,avg_privacy_risk_mean,avg_privacy_risk_std,sla_violation_pct_mean,sla_violation_pct_std,avg_latency_ms_p_corr_vs_nonlinear,avg_energy_mj_p_corr_vs_nonlinear,avg_privacy_risk_p_corr_vs_nonlinear,sla_violation_pct_p_corr_vs_nonlinear
flat,73.33794912616936,3.224358904780674,7.406822549474679,0.5214131797803571,0.39527568669568436,0.010554745942976467,0.7100000000000001,0.2055075018906447,1.0,1.0,1.0,1.0
step,72.14691991368304,3.017783608838522,7.4051136810298415,0.4796819054129565,0.4082038059393844,0.012434529099199877,0.6566666666666665,0.21860669909426125,0.3846430813281929,1.0,3.84844833302427e-05,0.9422238218331676
linear,72.50435870909004,3.012803741025036,7.492193325717201,0.4915955806546282,0.40300853632421213,0.011326081913005935,0.6866666666666666,0.2171532996653644,1.0,1.0,0.0033103858599691323,1.0
nonlinear,73.73360180699578,3.0863317880212686,7.586643651296437,0.48462835313361924,0.3917837118688103,0.008984716377353501,0.7699999999999999,0.22531459488161582,,,,
