run,task_quintile,node_fraction_10,node_fraction_11,node_fraction_12,node_fraction_13,node_fraction_14
21,4,0.9600,0.0150,0.0100,0.0100,0.0050
21,5,0.9750,0.0050,0.0100,0.0000,0.0100
22,1,0.2000,0.1250,0.4550,0.1250,0.0950
22,2,0.6350,0.0200,0.1050,0.0450,0.1950
22,3,0.9300,0.0200,0.0150,0.0150,0.0200
22,4,0.9600,0.0150,0.0100,0.0100,0.0050
22,5,0.9750,0.0050,0.0100,0.0000,0.0100
23,1,0.1800,0.1250,0.4500,0.1500,0.0950
23,2,0.6150,0.0200,0.2450,0.0450,0.0750
23,3,0.9250,0.0200,0.0200,0.0150,0.0200
23,4,0.9600,0.0150,0.0100,0.0100,0.0050
23,5,0.9750,0.0050,0.0100,0.0000,0.0100
24,1,0.1750,0.1250,0.4800,0.1250,0.0950
24,2,0.6600,0.0200,0.0700,0.0450,0.2050
24,3,0.9300,0.0200,0.0150,0.0150,0.0200
24,4,0.9600,0.0150,0.0100,0.0100,0.0050
24,5,0.9750,0.0050,0.0100,0.0000,0.0100
27,1,0.1550,0.1250,0.3700,0.2550,0.0950
27,2,0.5150,0.0200,0.1300,0.1950,0.1400
27,3,0.9000,0.0200,0.0150,0.0150,0.0500
27,4,0.9600,0.0150,0.0100,0.0100,0.0050
27,5,0.9750,0.0050,0.0100,0.0000,0.0100
25,1,0.1600,0.1250,0.4950,0.1250,0.0950
25,2,0.5000,0.0200,0.3650,0.0450,0.0700
25,3,0.9200,0.0200,0.0250,0.0150,0.0200
25,4,0.9600,0.0150,0.0100,0.0100,0.0050
25,5,0.9750,0.0050,0.0100,0.0000,0.0100
26,1,0.2050,0.1250,0.3750,0.2000,0.0950
26,2,0.7050,0.0200,0.1350,0.0450,0.0950
26,3,0.9300,0.0200,0.0150,0.0150,0.0200
26,4,0.9600,0.0150,0.0100,0.0100,0.0050
26,5,0.9750,0.0050,0.0100,0.0000,0.0100
28,1,0.1700,0.1250,0.2450,0.3650,0.0950
28,2,0.1000,0.0200,0.0500,0.7600,0.0700
28,3,0.0550,0.0200,0.0150,0.8900,0.0200
28,4,0.2750,0.0150,0.0100,0.6950,0.0050
28,5,0.9600,0.0050,0.0100,0.0100,0.0150
29,1,0.1700,0.1300,0.2950,0.3100,0.0950
29,2,0.5750,0.2050,0.0850,0.0450,0.0900
29,3,0.9000,0.0400,0.0150,0.0150,0.0300
29,4,0.9600,0.0150,0.0100,0.0100,0.0050
29,5,0.9750,0.0050,0.0100,0.0000,0.0100
