Algorithm,cv=1.0 lat±std,cv=1.5 lat±std,cv=2.5 lat±std,cv=1.0 priv,cv=1.5 priv,cv=2.5 priv,cv=1.0 SLA%,cv=1.5 SLA%,cv=2.5 SLA%
DQN-ES,73.73±3.09,85.25±3.57,122.12±5.11,0.3918,0.3918,0.3918,0.77,0.77,0.77
ES-only,65.91±2.56,76.21±2.96,109.17±4.24,0.4269,0.4269,0.4269,0.22,0.22,0.22
DQN-only,215.10±25.93,248.71±29.98,356.27±42.95,0.3634,0.3634,0.3634,5.15,5.61,5.61
PSO,66.09±2.63,76.41±3.05,109.46±4.36,0.4271,0.4271,0.4271,0.22,0.22,0.22
ACO,86.60±4.58,100.13±5.30,143.43±7.59,0.6966,0.6966,0.6966,0.00,0.00,0.00
HS-HHO,65.91±2.56,76.21±2.96,109.17±4.24,0.4269,0.4269,0.4269,0.22,0.22,0.22
